first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-09-17,2022 Asia Triathlon Championships Aktau,2,1:51:34,first,483.96000000000004,18,Yes,1329.77,No,# 18,On Track to Qualify
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,APR,2022-09-24,2022 Africa Triathlon Championships Agadir*,1,1:49:25,first,510,14,Yes,1794.81,No,# 14,On Track to Qualify
Léo,Bergere,Léo Bergere,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,6,1:40:40,first,677.19,1,Yes,3363.2000000000003,No,# 1,On Track to Qualify
Alex,Yee,Alex Yee,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,1,1:40:19,first,1000,2,Yes,1875,No,# 2,On Track to Qualify
Manoel,Massias,Manoel Massias,Brazil,BRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,3,1:40:29,first,855.63,6,Yes,2556.6800000000003,No,# 6,On Track to Qualify
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,4,1:40:31,first,791.45,7,Yes,2433.79,No,# 7,On Track to Qualify
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,15,1:41:12,first,335.73,8,Yes,1496.99,No,# 8,On Track to Qualify
Matthew,Hauser,Matthew Hauser,Australia,AUS,2022-10-08,2022 World Triathlon Championship Series Cagliari,11,1:40:56,first,458.58,13,Yes,1259.1399999999999,No,# 13,On Track to Qualify
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-10-08,2022 World Triathlon Championship Series Cagliari,9,1:40:50,first,535.96,15,Yes,2091.54,No,# 15,On Track to Qualify
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-10-08,2022 World Triathlon Championship Series Cagliari,8,1:40:45,first,579.42,16,Yes,1368.37,No,# 16,On Track to Qualify
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,13,1:41:03,first,392.37,17,Yes,1475.0700000000002,No,# 17,On Track to Qualify
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-10-08,2022 World Triathlon Championship Series Cagliari,20,1:41:33,first,227.35,18,Yes,1557.12,No,# 18,On Track to Qualify
