first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,current_sum
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,35,0:22:49,first,61.78,17,No,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,44,1:02:35,first,26.25,17,No,
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-09-03,2022 World Triathlon Cup Valencia,51,0:58:36,first,7.61,17,No,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,6,1:56:59,first,846.48,18,Yes,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-10-29,2022 Americas Triathlon Championships Montevideo,2,2:02:31,first,519.48,18,Yes,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,15,2:05:58,first,335.73,18,Yes,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,21,0:59:48,first,157.72,18,Yes,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-06-11,2022 World Triathlon Championship Series Leeds,23,1:01:00,first,134.95,18,Yes,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,27,0:59:28,first,98.8,18,Yes,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,33,0:22:44,first,72.2,18,No,
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,42,1:55:35,first,40.91,18,No,
Julie,Derron,Julie Derron,Switzerland,SUI,2022-06-11,2022 World Triathlon Championship Series Leeds,9,0:59:59,first,401.97,19,Yes,
Julie,Derron,Julie Derron,Switzerland,SUI,2022-10-08,2022 World Triathlon Championship Series Cagliari,13,1:49:56,first,392.37,19,Yes,
Julie,Derron,Julie Derron,Switzerland,SUI,2022-08-12,2022 Europe Triathlon Championships Munich,6,1:53:10,first,352.14,19,Yes,
Julie,Derron,Julie Derron,Switzerland,SUI,2022-05-28,2022 World Triathlon Cup Arzachena,2,1:00:35,first,346.88,19,Yes,
Julie,Derron,Julie Derron,Switzerland,SUI,2022-07-09,2022 World Triathlon Championship Series Hamburg,13,0:59:26,first,294.28,19,Yes,
Julie,Derron,Julie Derron,Switzerland,SUI,2022-09-11,2022 World Triathlon Cup Karlovy Vary,11,2:07:51,first,229.29,19,Yes,
Julie,Derron,Julie Derron,Switzerland,SUI,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,26,2:00:13,first,178.01,19,No,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-09-17,2022 Asia Triathlon Championships Aktau,1,2:02:28,first,545,20,Yes,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,15,1:59:02,first,419.66,20,Yes,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-09-11,2022 World Triathlon Cup Karlovy Vary,7,2:07:18,first,313.2,20,Yes,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-08-28,2022 World Triathlon Cup Bergen,4,1:03:00,first,296.79,20,Yes,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-07-24,2022 World Triathlon Cup Pontevedra,11,1:58:54,first,229.29,20,Yes,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-10-08,2022 World Triathlon Championship Series Cagliari,21,1:51:25,first,210.3,20,Yes,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-11-05,2022 World Triathlon Championship Series Bermuda,24,2:08:29,first,166.44,20,No,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-06-11,2022 World Triathlon Championship Series Leeds,36,1:02:02,first,48.98,20,No,
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-07-09,2022 World Triathlon Championship Series Hamburg,38,1:00:43,first,41.91,20,No,
