first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,APR,2022-09-24,2022 Africa Triathlon Championships Agadir*,1,1:49:25,first,510,14,Yes
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,MAY,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,8,0:22:13,first,506.99,14,Yes
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,JUN,2022-11-13,2022 World Triathlon Cup Vina del Mar,3,0:50:56,first,320.86,14,Yes
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,JUL,2022-11-05,2022 World Triathlon Championship Series Bermuda,25,1:51:57,first,153.96,14,Yes
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,AUG,2022-09-03,2022 World Triathlon Cup Valencia,14,0:51:03,first,136.1,14,Yes
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,SEP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,40,1:48:17,first,59.76,14,No
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,OCT,2022-06-11,2022 World Triathlon Championship Series Leeds,37,0:55:40,first,45.31,14,No
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-10-08,2022 World Triathlon Championship Series Cagliari,9,1:40:50,first,535.96,15,Yes
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-09-11,2022 World Triathlon Cup Karlovy Vary,1,1:51:10,first,500,15,Yes
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-08-12,2022 Europe Triathlon Championships Munich,4,1:41:30,first,452.72,15,Yes
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-07-09,2022 World Triathlon Championship Series Hamburg,14,0:53:54,first,272.21,15,Yes
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-06-11,2022 World Triathlon Championship Series Leeds,15,0:54:16,first,251.79,15,Yes
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-05-28,2022 World Triathlon Cup Arzachena,21,0:56:15,first,78.86,15,Yes
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-11-05,2022 World Triathlon Championship Series Bermuda,39,1:57:11,first,51.69,15,No
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-10-08,2022 World Triathlon Championship Series Cagliari,8,1:40:45,first,579.42,16,Yes
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-11-05,2022 World Triathlon Championship Series Bermuda,14,1:50:59,first,362.95,16,Yes
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,17,1:46:09,first,359.07,16,Yes
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-08-12,2022 Europe Triathlon Championships Munich,8,1:42:33,first,301.3,16,Yes
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-06-11,2022 World Triathlon Championship Series Leeds,14,0:54:15,first,272.21,16,Yes
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-07-09,2022 World Triathlon Championship Series Hamburg,17,0:53:58,first,215.44,16,Yes
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,17,1:53:24,first,143.63,16,No
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,24,0:53:54,first,124.83,16,No
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,12,1:50:33,first,424.19,17,Yes
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,13,1:41:03,first,392.37,17,Yes
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,7,1:42:08,first,325.73,17,Yes
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,8,1:52:25,first,289.71,17,Yes
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-07-24,2022 World Triathlon Cup Pontevedra,9,1:48:01,first,267.98,17,Yes
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-06-11,2022 World Triathlon Championship Series Leeds,18,0:54:22,first,199.28,17,Yes
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-05-28,2022 World Triathlon Cup Arzachena,10,0:55:19,first,185.91,17,No
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,23,0:54:12,first,134.95,17,No
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,33,1:47:34,first,103.14,17,No
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,47,0:55:34,first,20.78,17,No
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-09-17,2022 Asia Triathlon Championships Aktau,2,1:51:34,first,483.96,18,Yes
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,13,0:22:05,first,343.33,18,Yes
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-07-09,2022 World Triathlon Championship Series Hamburg,12,0:53:45,first,318.14,18,Yes
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-10-08,2022 World Triathlon Championship Series Cagliari,20,1:41:33,first,227.35,18,Yes
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,24,1:46:32,first,208.05,18,Yes
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-06-11,2022 World Triathlon Championship Series Leeds,19,0:54:24,first,184.34,18,Yes
Kenji,Nenner,Kenji Nenner,Japan,JPN,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,19,0:53:43,first,184.34,18,No
Kristian,Blummenfelt,Kristian Blummenfelt,Norway,NOR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,8,1:45:19,first,724.27,19,Yes
Kristian,Blummenfelt,Kristian Blummenfelt,Norway,NOR,2022-11-05,2022 World Triathlon Championship Series Bermuda,6,1:50:06,first,677.19,19,Yes
Kristian,Blummenfelt,Kristian Blummenfelt,Norway,NOR,2022-08-28,2022 World Triathlon Cup Bergen,2,0:55:38,first,346.88,19,Yes
Tom,Richard,Tom Richard,France,FRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,6,0:53:37,first,507.89,20,Yes
Tom,Richard,Tom Richard,France,FRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,10,1:50:16,first,495.76,20,Yes
Tom,Richard,Tom Richard,France,FRA,2022-05-28,2022 World Triathlon Cup Arzachena,3,0:54:35,first,320.86,20,Yes
Tom,Richard,Tom Richard,France,FRA,2022-08-28,2022 World Triathlon Cup Bergen,4,0:55:56,first,296.79,20,Yes
Tom,Richard,Tom Richard,France,FRA,2022-06-11,2022 World Triathlon Championship Series Leeds,31,0:54:54,first,72.33,20,Yes
Tom,Richard,Tom Richard,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,40,1:46:14,first,47.81,20,Yes
Tom,Richard,Tom Richard,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,32,1:45:17,first,46.39,20,No
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,12,1:45:41,first,530.24,21,Yes
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-10-08,2022 World Triathlon Championship Series Cagliari,12,1:40:59,first,424.19,21,Yes
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-06-18,2022 World Triathlon Cup Huatulco*,6,0:53:54,first,253.95,21,Yes
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-11-05,2022 World Triathlon Championship Series Bermuda,23,1:51:43,first,179.94,21,Yes
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-05-28,2022 World Triathlon Cup Arzachena,11,0:55:19,first,171.97,21,Yes
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-08-12,2022 Europe Triathlon Championships Munich,17,1:43:35,first,149.37,21,Yes
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,35,0:54:14,first,52.95,21,No
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,5,1:40:36,first,732.09,22,Yes
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-11-13,2022 World Triathlon Cup Vina del Mar,1,0:50:52,first,375,22,Yes
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-09-03,2022 World Triathlon Cup Valencia,5,0:50:48,first,274.54,22,Yes
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,25,1:46:35,first,192.45,22,Yes
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,25,0:53:55,first,115.47,22,Yes
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-07-24,2022 World Triathlon Cup Pontevedra,1,1:47:03,first,500,23,Yes
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,15,1:46:09,first,419.66,23,Yes
